Country_Name,Indicator_Name,Year,Value
Argentina,Expenditure on primary education (% of government expenditure on education),2000,35.69129
Argentina,Expenditure on secondary education (% of government expenditure on education),2000,35.70325
Argentina,GDP (current US$),2000,2.84204E+11
Argentina,GDP per capita (current US$),2000,7666.517834
Argentina,Gini index,2000,51.1
Argentina,"Government expenditure on education, total (% of GDP)",2000,4.580309868
Argentina,"Government expenditure on education, total (% of government expenditure)",2000,16.22615051
Argentina,"Government expenditure per student, primary (% of GDP per capita)",2000,12.2987
Argentina,"Government expenditure per student, secondary (% of GDP per capita)",2000,15.74535
Argentina,International migrant stock (% of population),2000,4.156300218
Argentina,"International migrant stock, total",2000,1540219
Argentina,"Literacy rate, adult total (% of people ages 15 and above)",2000,
Argentina,"Literacy rate, youth total (% of people ages 15-24)",2000,
Argentina,Net migration,2000,-22770
Argentina,"Over-age students, primary (% of enrollment)",2000,10.19093
Argentina,"Population ages 0-14, female",2000,5100516
Argentina,"Population ages 0-14, male",2000,5346107
Argentina,"Population ages 15-64, female",2000,11534450
Argentina,"Population ages 15-64, male",2000,11478301
Argentina,"Population ages 65 and above, female",2000,2155062
Argentina,"Population ages 65 and above, male",2000,1456338
Argentina,"Population, female",2000,18790028
Argentina,"Population, male",2000,18280746
Argentina,"Population, total",2000,37070774
Argentina,Poverty headcount ratio at national poverty lines (% of population),2000,
Argentina,"Primary education, pupils",2000,4900956
Argentina,"Repeaters, primary, total (% of total enrollment)",2000,6.14958
Argentina,Rural population,2000,4025145
Argentina,"School enrollment, preprimary (% gross)",2000,58.73519897
Argentina,"School enrollment, primary (% gross)",2000,115.6941299
Argentina,"School enrollment, primary (% net)",2000,98.92861
Argentina,"School enrollment, secondary (% gross)",2000,95.93660736
Argentina,"School enrollment, secondary (% net)",2000,78.48781
Argentina,"Secondary education, pupils",2000,3829421
Argentina,Urban population,2000,33045629
"Bahamas, The","Adjusted net enrollment rate, primary (% of primary school age children)",2000,
"Bahamas, The",Adolescents out of school (% of lower secondary school age),2000,
"Bahamas, The",Children out of school (% of primary school age),2000,
"Bahamas, The","Children out of school, primary",2000,
"Bahamas, The","Compulsory education, duration (years)",2000,12
"Bahamas, The","Current education expenditure, total (% of total expenditure in public institutions)",2000,
"Bahamas, The","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2000,90.10501862
"Bahamas, The","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2000,98.49593353
"Bahamas, The","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",2000,70.94155121
"Bahamas, The",Expenditure on primary education (% of government expenditure on education),2000,
"Bahamas, The",Expenditure on secondary education (% of government expenditure on education),2000,
"Bahamas, The",GDP (current US$),2000,8076470000
"Bahamas, The",GDP per capita (current US$),2000,24849.60648
"Bahamas, The",Gini index,2000,
"Bahamas, The","Government expenditure on education, total (% of GDP)",2000,2.232840061
"Bahamas, The","Government expenditure on education, total (% of government expenditure)",2000,18.76528931
"Bahamas, The","Government expenditure per student, primary (% of GDP per capita)",2000,
"Bahamas, The","Government expenditure per student, secondary (% of GDP per capita)",2000,
"Bahamas, The",International migrant stock (% of population),2000,12.23736199
"Bahamas, The","International migrant stock, total",2000,36454
"Bahamas, The","Literacy rate, adult total (% of people ages 15 and above)",2000,
"Bahamas, The","Literacy rate, youth total (% of people ages 15-24)",2000,
"Bahamas, The",Net migration,2000,843
"Bahamas, The","Over-age students, primary (% of enrollment)",2000,
"Bahamas, The","Population ages 0-14, female",2000,48256
"Bahamas, The","Population ages 0-14, male",2000,48900
"Bahamas, The","Population ages 15-64, female",2000,108340
"Bahamas, The","Population ages 15-64, male",2000,103213
"Bahamas, The","Population ages 65 and above, female",2000,9540
"Bahamas, The","Population ages 65 and above, male",2000,6766
"Bahamas, The","Population, female",2000,166136
"Bahamas, The","Population, male",2000,158879
"Bahamas, The","Population, total",2000,325014
"Bahamas, The",Poverty headcount ratio at national poverty lines (% of population),2000,
"Bahamas, The","Primary education, pupils",2000,
"Bahamas, The","Repeaters, primary, total (% of total enrollment)",2000,
"Bahamas, The",Rural population,2000,58480
"Bahamas, The","School enrollment, preprimary (% gross)",2000,15.81334019
"Bahamas, The","School enrollment, primary (% gross)",2000,
"Bahamas, The","School enrollment, primary (% net)",2000,
"Bahamas, The","School enrollment, secondary (% gross)",2000,
"Bahamas, The","School enrollment, secondary (% net)",2000,
"Bahamas, The","Secondary education, pupils",2000,
"Bahamas, The",Urban population,2000,266534
Brazil,"Adjusted net enrollment rate, primary (% of primary school age children)",2000,
Brazil,Adolescents out of school (% of lower secondary school age),2000,
Brazil,Children out of school (% of primary school age),2000,
Brazil,"Children out of school, primary",2000,
Brazil,"Compulsory education, duration (years)",2000,8
Brazil,"Current education expenditure, total (% of total expenditure in public institutions)",2000,93.85858917
Brazil,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2000,
Brazil,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2000,
Brazil,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",2000,
Brazil,Expenditure on primary education (% of government expenditure on education),2000,30.88178
Brazil,Expenditure on secondary education (% of government expenditure on education),2000,38.44232
Brazil,GDP (current US$),2000,6.55448E+11
Brazil,GDP per capita (current US$),2000,3726.81142
Brazil,Gini index,2000,
Brazil,"Government expenditure on education, total (% of GDP)",2000,3.948930025
Brazil,"Government expenditure on education, total (% of government expenditure)",2000,11.45215988
Brazil,"Government expenditure per student, primary (% of GDP per capita)",2000,10.5463
Brazil,"Government expenditure per student, secondary (% of GDP per capita)",2000,
Brazil,International migrant stock (% of population),2000,0.389447557
Brazil,"International migrant stock, total",2000,684596
Brazil,"Literacy rate, adult total (% of people ages 15 and above)",2000,86.36788177
Brazil,"Literacy rate, youth total (% of people ages 15-24)",2000,94.18411255
Brazil,Net migration,2000,-1761
Brazil,"Over-age students, primary (% of enrollment)",2000,34.81253
Brazil,"Population ages 0-14, female",2000,25806123
Brazil,"Population ages 0-14, male",2000,26664068
Brazil,"Population ages 15-64, female",2000,57564654
Brazil,"Population ages 15-64, male",2000,56159166
Brazil,"Population ages 65 and above, female",2000,5378613
Brazil,"Population ages 65 and above, male",2000,4301096
Brazil,"Population, female",2000,88749390
Brazil,"Population, male",2000,87124330
Brazil,"Population, total",2000,175873720
Brazil,Poverty headcount ratio at national poverty lines (% of population),2000,
Brazil,"Primary education, pupils",2000,20211506
Brazil,"Repeaters, primary, total (% of total enrollment)",2000,25.01127
Brazil,Rural population,2000,33078329
Brazil,"School enrollment, preprimary (% gross)",2000,
Brazil,"School enrollment, primary (% gross)",2000,
Brazil,"School enrollment, primary (% net)",2000,
Brazil,"School enrollment, secondary (% gross)",2000,
Brazil,"School enrollment, secondary (% net)",2000,
Brazil,"Secondary education, pupils",2000,
Brazil,Urban population,2000,142795391
British Virgin Islands,"Adjusted net enrollment rate, primary (% of primary school age children)",2000,83.77107
British Virgin Islands,Adolescents out of school (% of lower secondary school age),2000,4.092339993
British Virgin Islands,Children out of school (% of primary school age),2000,16.22892952
British Virgin Islands,"Children out of school, primary",2000,414
British Virgin Islands,"Compulsory education, duration (years)",2000,12
British Virgin Islands,"Current education expenditure, total (% of total expenditure in public institutions)",2000,
British Virgin Islands,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2000,
British Virgin Islands,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2000,
British Virgin Islands,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",2000,
British Virgin Islands,Expenditure on primary education (% of government expenditure on education),2000,
British Virgin Islands,Expenditure on secondary education (% of government expenditure on education),2000,
British Virgin Islands,GDP (current US$),2000,
British Virgin Islands,GDP per capita (current US$),2000,
British Virgin Islands,Gini index,2000,
British Virgin Islands,"Government expenditure on education, total (% of GDP)",2000,
British Virgin Islands,"Government expenditure on education, total (% of government expenditure)",2000,
British Virgin Islands,"Government expenditure per student, primary (% of GDP per capita)",2000,
British Virgin Islands,"Government expenditure per student, secondary (% of GDP per capita)",2000,
British Virgin Islands,International migrant stock (% of population),2000,58.41205251
British Virgin Islands,"International migrant stock, total",2000,12058
British Virgin Islands,"Literacy rate, adult total (% of people ages 15 and above)",2000,
British Virgin Islands,"Literacy rate, youth total (% of people ages 15-24)",2000,
British Virgin Islands,Net migration,2000,326
British Virgin Islands,"Over-age students, primary (% of enrollment)",2000,5.17427
British Virgin Islands,"Population ages 0-14, female",2000,2614
British Virgin Islands,"Population ages 0-14, male",2000,2651
British Virgin Islands,"Population ages 15-64, female",2000,6700
British Virgin Islands,"Population ages 15-64, male",2000,7179
British Virgin Islands,"Population ages 65 and above, female",2000,463
British Virgin Islands,"Population ages 65 and above, male",2000,498
British Virgin Islands,"Population, female",2000,9777
British Virgin Islands,"Population, male",2000,10327
British Virgin Islands,"Population, total",2000,20104
British Virgin Islands,Poverty headcount ratio at national poverty lines (% of population),2000,
British Virgin Islands,"Primary education, pupils",2000,2783
British Virgin Islands,"Repeaters, primary, total (% of total enrollment)",2000,2.7402
British Virgin Islands,Rural population,2000,11706
British Virgin Islands,"School enrollment, preprimary (% gross)",2000,73.07691956
British Virgin Islands,"School enrollment, primary (% gross)",2000,109.0944672
British Virgin Islands,"School enrollment, primary (% net)",2000,81.85025
British Virgin Islands,"School enrollment, secondary (% gross)",2000,98.75978851
British Virgin Islands,"School enrollment, secondary (% net)",2000,79.56919
British Virgin Islands,"Secondary education, pupils",2000,1513
British Virgin Islands,Urban population,2000,8398
Chile,"Adjusted net enrollment rate, primary (% of primary school age children)",2000,
Chile,Adolescents out of school (% of lower secondary school age),2000,
Chile,Children out of school (% of primary school age),2000,
Chile,"Children out of school, primary",2000,
Chile,"Compulsory education, duration (years)",2000,8
Chile,"Current education expenditure, total (% of total expenditure in public institutions)",2000,87.18878174
Chile,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2000,
Chile,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2000,
Chile,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",2000,
Chile,Expenditure on primary education (% of government expenditure on education),2000,43.01821
Chile,Expenditure on secondary education (% of government expenditure on education),2000,34.26986
Chile,GDP (current US$),2000,78249883996
Chile,GDP per capita (current US$),2000,5097.114937
Chile,Gini index,2000,52.8
Chile,"Government expenditure on education, total (% of GDP)",2000,3.77583003
Chile,"Government expenditure on education, total (% of government expenditure)",2000,16.42790985
Chile,"Government expenditure per student, primary (% of GDP per capita)",2000,13.85617
Chile,"Government expenditure per student, secondary (% of GDP per capita)",2000,14.26927
Chile,International migrant stock (% of population),2000,1.168935242
Chile,"International migrant stock, total",2000,177332
Chile,"Literacy rate, adult total (% of people ages 15 and above)",2000,
Chile,"Literacy rate, youth total (% of people ages 15-24)",2000,
Chile,Net migration,2000,5790
Chile,"Over-age students, primary (% of enrollment)",2000,
Chile,"Population ages 0-14, female",2000,2013406
Chile,"Population ages 0-14, male",2000,2102805
Chile,"Population ages 15-64, female",2000,5008743
Chile,"Population ages 15-64, male",2000,5001295
Chile,"Population ages 65 and above, female",2000,701994
Chile,"Population ages 65 and above, male",2000,523555
Chile,"Population, female",2000,7724143
Chile,"Population, male",2000,7627655
Chile,"Population, total",2000,15351799
Chile,Poverty headcount ratio at national poverty lines (% of population),2000,36
Chile,"Primary education, pupils",2000,1798515
Chile,"Repeaters, primary, total (% of total enrollment)",2000,
Chile,Rural population,2000,2138045
Chile,"School enrollment, preprimary (% gross)",2000,78.97057343
Chile,"School enrollment, primary (% gross)",2000,103.0135117
Chile,"School enrollment, primary (% net)",2000,
Chile,"School enrollment, secondary (% gross)",2000,85.52158356
Chile,"School enrollment, secondary (% net)",2000,
Chile,"Secondary education, pupils",2000,1391283
Chile,Urban population,2000,13213754
Colombia,"Adjusted net enrollment rate, primary (% of primary school age children)",2000,96.76601
Colombia,Adolescents out of school (% of lower secondary school age),2000,
Colombia,Children out of school (% of primary school age),2000,0.791119993
Colombia,"Children out of school, primary",2000,34598
Colombia,"Compulsory education, duration (years)",2000,10
Colombia,"Current education expenditure, total (% of total expenditure in public institutions)",2000,
Colombia,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2000,
Colombia,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2000,
Colombia,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",2000,
Colombia,Expenditure on primary education (% of government expenditure on education),2000,44.55692
Colombia,Expenditure on secondary education (% of government expenditure on education),2000,33.0706
Colombia,GDP (current US$),2000,99875074935
Colombia,GDP per capita (current US$),2000,2546.850213
Colombia,Gini index,2000,58.7
Colombia,"Government expenditure on education, total (% of GDP)",2000,3.511209965
Colombia,"Government expenditure on education, total (% of government expenditure)",2000,13.29638958
Colombia,"Government expenditure per student, primary (% of GDP per capita)",2000,11.87519
Colombia,"Government expenditure per student, secondary (% of GDP per capita)",2000,12.89406
Colombia,International migrant stock (% of population),2000,0.271282822
Colombia,"International migrant stock, total",2000,109609
Colombia,"Literacy rate, adult total (% of people ages 15 and above)",2000,
Colombia,"Literacy rate, youth total (% of people ages 15-24)",2000,
Colombia,Net migration,2000,-31116
Colombia,"Over-age students, primary (% of enrollment)",2000,18.93137
Colombia,"Population ages 0-14, female",2000,6290447
Colombia,"Population ages 0-14, male",2000,6518801
Colombia,"Population ages 15-64, female",2000,12449911
Colombia,"Population ages 15-64, male",2000,12159621
Colombia,"Population ages 65 and above, female",2000,1004893
Colombia,"Population ages 65 and above, male",2000,791463
Colombia,"Population, female",2000,19745251
Colombia,"Population, male",2000,19469885
Colombia,"Population, total",2000,39215135
Colombia,Poverty headcount ratio at national poverty lines (% of population),2000,
Colombia,"Primary education, pupils",2000,5221018
Colombia,"Repeaters, primary, total (% of total enrollment)",2000,5.35442
Colombia,Rural population,2000,10212798
Colombia,"School enrollment, preprimary (% gross)",2000,
Colombia,"School enrollment, primary (% gross)",2000,119.3839417
Colombia,"School enrollment, primary (% net)",2000,93.89445
Colombia,"School enrollment, secondary (% gross)",2000,73.08660126
Colombia,"School enrollment, secondary (% net)",2000,
Colombia,"Secondary education, pupils",2000,3568889
Colombia,Urban population,2000,29002337
Costa Rica,"Adjusted net enrollment rate, primary (% of primary school age children)",2000,
Costa Rica,Adolescents out of school (% of lower secondary school age),2000,
Costa Rica,Children out of school (% of primary school age),2000,
Costa Rica,"Children out of school, primary",2000,
Costa Rica,"Compulsory education, duration (years)",2000,11
Costa Rica,"Current education expenditure, total (% of total expenditure in public institutions)",2000,
Costa Rica,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2000,
Costa Rica,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2000,
Costa Rica,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",2000,
Costa Rica,Expenditure on primary education (% of government expenditure on education),2000,46.52694
Costa Rica,Expenditure on secondary education (% of government expenditure on education),2000,28.00545
Costa Rica,GDP (current US$),2000,15013629659
Costa Rica,GDP per capita (current US$),2000,3773.033793
Costa Rica,Gini index,2000,47.4
Costa Rica,"Government expenditure on education, total (% of GDP)",2000,4.666950226
Costa Rica,"Government expenditure on education, total (% of government expenditure)",2000,18.81950951
Costa Rica,"Government expenditure per student, primary (% of GDP per capita)",2000,15.66871
Costa Rica,"Government expenditure per student, secondary (% of GDP per capita)",2000,20.3449
Costa Rica,International migrant stock (% of population),2000,7.92128291
Costa Rica,"International migrant stock, total",2000,310946
Costa Rica,"Literacy rate, adult total (% of people ages 15 and above)",2000,94.86818695
Costa Rica,"Literacy rate, youth total (% of people ages 15-24)",2000,97.61470032
Costa Rica,Net migration,2000,13590
Costa Rica,"Over-age students, primary (% of enrollment)",2000,
Costa Rica,"Population ages 0-14, female",2000,599712
Costa Rica,"Population ages 0-14, male",2000,628790
Costa Rica,"Population ages 15-64, female",2000,1252930
Costa Rica,"Population ages 15-64, male",2000,1264782
Costa Rica,"Population ages 65 and above, female",2000,123945
Costa Rica,"Population ages 65 and above, male",2000,109033
Costa Rica,"Population, female",2000,1976587
Costa Rica,"Population, male",2000,2002605
Costa Rica,"Population, total",2000,3979193
Costa Rica,Poverty headcount ratio at national poverty lines (% of population),2000,20.6
Costa Rica,"Primary education, pupils",2000,551465
Costa Rica,"Repeaters, primary, total (% of total enrollment)",2000,8.05944
Costa Rica,Rural population,2000,1629400
Costa Rica,"School enrollment, preprimary (% gross)",2000,45.65473175
Costa Rica,"School enrollment, primary (% gross)",2000,109.1044235
Costa Rica,"School enrollment, primary (% net)",2000,
Costa Rica,"School enrollment, secondary (% gross)",2000,62.05680084
Costa Rica,"School enrollment, secondary (% net)",2000,
Costa Rica,"Secondary education, pupils",2000,255643
Costa Rica,Urban population,2000,2349793
Cuba,"Adjusted net enrollment rate, primary (% of primary school age children)",2000,99.56287
Cuba,Adolescents out of school (% of lower secondary school age),2000,3.964900017
Cuba,Children out of school (% of primary school age),2000,0.437130004
Cuba,"Children out of school, primary",2000,4453
Cuba,"Compulsory education, duration (years)",2000,9
Cuba,"Current education expenditure, total (% of total expenditure in public institutions)",2000,92.09062195
Cuba,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2000,
Cuba,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2000,
Cuba,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",2000,
Cuba,Expenditure on primary education (% of government expenditure on education),2000,34.50056
Cuba,Expenditure on secondary education (% of government expenditure on education),2000,37.96225
Cuba,GDP (current US$),2000,30565400000
Cuba,GDP per capita (current US$),2000,2752.203783
Cuba,Gini index,2000,
Cuba,"Government expenditure on education, total (% of GDP)",2000,7.704810143
Cuba,"Government expenditure on education, total (% of government expenditure)",2000,
Cuba,"Government expenditure per student, primary (% of GDP per capita)",2000,28.28703
Cuba,"Government expenditure per student, secondary (% of GDP per capita)",2000,41.19862
Cuba,International migrant stock (% of population),2000,0.160280124
Cuba,"International migrant stock, total",2000,17818
Cuba,"Literacy rate, adult total (% of people ages 15 and above)",2000,
Cuba,"Literacy rate, youth total (% of people ages 15-24)",2000,
Cuba,Net migration,2000,-24942
Cuba,"Over-age students, primary (% of enrollment)",2000,4.45189
Cuba,"Population ages 0-14, female",2000,1141224
Cuba,"Population ages 0-14, male",2000,1214773
Cuba,"Population ages 15-64, female",2000,3809137
Cuba,"Population ages 15-64, male",2000,3841727
Cuba,"Population ages 65 and above, female",2000,580588
Cuba,"Population ages 65 and above, male",2000,518342
Cuba,"Population, female",2000,5530949
Cuba,"Population, male",2000,5574842
Cuba,"Population, total",2000,11105791
Cuba,Poverty headcount ratio at national poverty lines (% of population),2000,
Cuba,"Primary education, pupils",2000,1045578
Cuba,"Repeaters, primary, total (% of total enrollment)",2000,1.40688
Cuba,Rural population,2000,2740576
Cuba,"School enrollment, preprimary (% gross)",2000,107.9292526
Cuba,"School enrollment, primary (% gross)",2000,102.6397705
Cuba,"School enrollment, primary (% net)",2000,97.92115
Cuba,"School enrollment, secondary (% gross)",2000,82.7508316
Cuba,"School enrollment, secondary (% net)",2000,80.49006
Cuba,"Secondary education, pupils",2000,789927
Cuba,Urban population,2000,8365215
Curacao,"Adjusted net enrollment rate, primary (% of primary school age children)",2000,
Curacao,Adolescents out of school (% of lower secondary school age),2000,
Curacao,Children out of school (% of primary school age),2000,
Curacao,"Children out of school, primary",2000,
Curacao,"Compulsory education, duration (years)",2000,9
Curacao,"Current education expenditure, total (% of total expenditure in public institutions)",2000,
Curacao,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2000,
Curacao,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2000,
Curacao,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",2000,
Curacao,Expenditure on primary education (% of government expenditure on education),2000,
Curacao,Expenditure on secondary education (% of government expenditure on education),2000,
Curacao,GDP (current US$),2000,
Curacao,GDP per capita (current US$),2000,
Curacao,Gini index,2000,
Curacao,"Government expenditure on education, total (% of GDP)",2000,
Curacao,"Government expenditure on education, total (% of government expenditure)",2000,
Curacao,"Government expenditure per student, primary (% of GDP per capita)",2000,
Curacao,"Government expenditure per student, secondary (% of GDP per capita)",2000,
Curacao,International migrant stock (% of population),2000,
Curacao,"International migrant stock, total",2000,
Curacao,"Literacy rate, adult total (% of people ages 15 and above)",2000,
Curacao,"Literacy rate, youth total (% of people ages 15-24)",2000,
Curacao,Net migration,2000,-2632
Curacao,"Over-age students, primary (% of enrollment)",2000,
Curacao,"Population ages 0-14, female",2000,17103
Curacao,"Population ages 0-14, male",2000,17486
Curacao,"Population ages 15-64, female",2000,47394
Curacao,"Population ages 15-64, male",2000,39388
Curacao,"Population ages 65 and above, female",2000,7262
Curacao,"Population ages 65 and above, male",2000,5226
Curacao,"Population, female",2000,71759
Curacao,"Population, male",2000,62100
Curacao,"Population, total",2000,133860
Curacao,Poverty headcount ratio at national poverty lines (% of population),2000,
Curacao,"Primary education, pupils",2000,
Curacao,"Repeaters, primary, total (% of total enrollment)",2000,
Curacao,Rural population,2000,12379
Curacao,"School enrollment, preprimary (% gross)",2000,
Curacao,"School enrollment, primary (% gross)",2000,
Curacao,"School enrollment, primary (% net)",2000,
Curacao,"School enrollment, secondary (% gross)",2000,
Curacao,"School enrollment, secondary (% net)",2000,
Curacao,"Secondary education, pupils",2000,
Curacao,Urban population,2000,121481
Dominican Republic,"Adjusted net enrollment rate, primary (% of primary school age children)",2000,86.10226
Dominican Republic,Adolescents out of school (% of lower secondary school age),2000,14.94171047
Dominican Republic,Children out of school (% of primary school age),2000,12.23974991
Dominican Republic,"Children out of school, primary",2000,144073
Dominican Republic,"Compulsory education, duration (years)",2000,9
Dominican Republic,"Current education expenditure, total (% of total expenditure in public institutions)",2000,
Dominican Republic,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",2000,
Dominican Republic,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",2000,
Dominican Republic,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",2000,
Dominican Republic,Expenditure on primary education (% of government expenditure on education),2000,
Dominican Republic,Expenditure on secondary education (% of government expenditure on education),2000,
Dominican Republic,GDP (current US$),2000,24305781112
Dominican Republic,GDP per capita (current US$),2000,2845.84661
Dominican Republic,Gini index,2000,51.5
Dominican Republic,"Government expenditure on education, total (% of GDP)",2000,1.888290048
Dominican Republic,"Government expenditure on education, total (% of government expenditure)",2000,12.98847961
Dominican Republic,"Government expenditure per student, primary (% of GDP per capita)",2000,
Dominican Republic,"Government expenditure per student, secondary (% of GDP per capita)",2000,
Dominican Republic,International migrant stock (% of population),2000,4.153061509
Dominican Republic,"International migrant stock, total",2000,355611
Dominican Republic,"Literacy rate, adult total (% of people ages 15 and above)",2000,
Dominican Republic,"Literacy rate, youth total (% of people ages 15-24)",2000,
Dominican Republic,Net migration,2000,-30231
Dominican Republic,"Over-age students, primary (% of enrollment)",2000,24.01862
Dominican Republic,"Population ages 0-14, female",2000,1470700
Dominican Republic,"Population ages 0-14, male",2000,1521594
Dominican Republic,"Population ages 15-64, female",2000,2528770
Dominican Republic,"Population ages 15-64, male",2000,2614356
Dominican Republic,"Population ages 65 and above, female",2000,217881
Dominican Republic,"Population ages 65 and above, male",2000,187490
Dominican Republic,"Population, female",2000,4217351
Dominican Republic,"Population, male",2000,4323440
Dominican Republic,"Population, total",2000,8540791
Dominican Republic,Poverty headcount ratio at national poverty lines (% of population),2000,
Dominican Republic,"Primary education, pupils",2000,1363609
Dominican Republic,"Repeaters, primary, total (% of total enrollment)",2000,5.11026
Dominican Republic,Rural population,2000,3266596
Dominican Republic,"School enrollment, preprimary (% gross)",2000,34.60620117
Dominican Republic,"School enrollment, primary (% gross)",2000,115.8456726
Dominican Republic,"School enrollment, primary (% net)",2000,84.72004
Dominican Republic,"School enrollment, secondary (% gross)",2000,60.05714035
Dominican Republic,"School enrollment, secondary (% net)",2000,40.60467
Dominican Republic,"Secondary education, pupils",2000,653558
Dominican Republic,Urban population,2000,5274195
Ecuador,"Adjusted net enrollment rate, primary (% of primary school age children)",2000,97.06899
Ecuador,Adolescents out of school (% of lower secondary school age),2000,27.36484909
Ecuador,Children out of school (% of primary school age),2000,2.931010008
Ecuador,"Children out of school, primary",2000,50654
