Country_Name,Nombre_Pais,Cod_Na_UIS,Context_Indicator_Name,Nombre_Indicador_Contexto,EMAC_IND_CONT_COD,Year,Value
Antigua and Barbuda,Antigua y Barbuda,AG,"Government expenditure per student, secondary (% of GDP per capita)","Gasto público por estudiante, secundaria (% del PIB per cápita)",18,2000,
Antigua and Barbuda,Antigua y Barbuda,AG,International migrant stock (% of population),Población de migrantes internacionales (% de la población),19,2000,29.71229137
Antigua and Barbuda,Antigua y Barbuda,AG,"International migrant stock, total","Población de migrantes internacionales, total",20,2000,23071
Antigua and Barbuda,Antigua y Barbuda,AG,"Literacy rate, adult total (% of people ages 15 and above)","Tasa de alfabetización, total de adultos (% de personas de 15 años o más)",21,2000,
Antigua and Barbuda,Antigua y Barbuda,AG,"Literacy rate, youth total (% of people ages 15-24)","Tasa de alfabetización, total de jóvenes (% de personas de 15 a 24 años)",22,2000,
Antigua and Barbuda,Antigua y Barbuda,AG,Net migration,Migración neta,23,2000,271
Antigua and Barbuda,Antigua y Barbuda,AG,"Over-age students, primary (% of enrollment)","Alumnos con sobre-edad, primaria (% de matrícula)",24,2000,
Antigua and Barbuda,Antigua y Barbuda,AG,"Population ages 0-14, female","Población de 0 a 14 años, mujeres",25,2000,10529
Antigua and Barbuda,Antigua y Barbuda,AG,"Population ages 0-14, male","Población de 0 a 14 años, hombres",26,2000,10334
Antigua and Barbuda,Antigua y Barbuda,AG,"Population ages 15-64, female","Población de 15 a 64 años, mujeres",27,2000,26050
Antigua and Barbuda,Antigua y Barbuda,AG,"Population ages 15-64, male","Población de 15 a 64 años, hombres",28,2000,22694
Antigua and Barbuda,Antigua y Barbuda,AG,"Population ages 65 and above, female","Población de 65 años de edad o más, mujeres",29,2000,3169
Antigua and Barbuda,Antigua y Barbuda,AG,"Population ages 65 and above, male","Población de 65 años de edad o más, hombres",30,2000,2279
Antigua and Barbuda,Antigua y Barbuda,AG,"Population, female","Población, mujeres",31,2000,39748
Antigua and Barbuda,Antigua y Barbuda,AG,"Population, male","Población, hombres",32,2000,35307
Antigua and Barbuda,Antigua y Barbuda,AG,"Population, total","Población, total",33,2000,75055
Antigua and Barbuda,Antigua y Barbuda,AG,Poverty headcount ratio at national poverty lines (% of population),"Tasa de incidencia de la pobreza, sobre la base de la línea de pobreza nacional (% de la población)",34,2000,
Antigua and Barbuda,Antigua y Barbuda,AG,"Primary education, pupils","Primaria, alumnos",35,2000,13025
Antigua and Barbuda,Antigua y Barbuda,AG,"Repeaters, primary, total (% of total enrollment)","Repetidores, primaria, total (% de la matrícula total)",36,2000,
Antigua and Barbuda,Antigua y Barbuda,AG,Rural population,Población rural,37,2000,50942
Antigua and Barbuda,Antigua y Barbuda,AG,"School enrollment, preprimary (% gross)","Matrícula escolar, preprimaria (% bruto)",38,2000,55.38253021
Antigua and Barbuda,Antigua y Barbuda,AG,"School enrollment, primary (% gross)","Matrícula escolar, primaria (% bruto)",39,2000,127.5960007
Antigua and Barbuda,Antigua y Barbuda,AG,"School enrollment, primary (% net)","Matrícula escolar, primaria (% neto)",40,2000,
Antigua and Barbuda,Antigua y Barbuda,AG,"School enrollment, secondary (% gross)","Matrícula, secundaria (% bruto)",41,2000,79.66178131
Antigua and Barbuda,Antigua y Barbuda,AG,"School enrollment, secondary (% net)","Matrícula escolar, secundaria (% neto)",42,2000,70.69304
Antigua and Barbuda,Antigua y Barbuda,AG,"Secondary education, pupils","Educación secundaria, alumnos",43,2000,5276
Antigua and Barbuda,Antigua y Barbuda,AG,Urban population,Población urbana,44,2000,24113
Argentina,Argentina,AR,"Adjusted net enrollment rate, primary (% of primary school age children)","Tasa neta de matrícula ajustada, primaria (% de niños en edad de asistir a la escuela primaria)",1,2000,99.35688
Argentina,Argentina,AR,Adolescents out of school (% of lower secondary school age),Adolescentes fuera de la escuela (% de los adolescentes en edad de asistir a la secundaria baja),2,2000,0.834389985
Argentina,Argentina,AR,Children out of school (% of primary school age),Niños fuera de la escuela (% de los niños en edad de asistir a la primaria),3,2000,0.431639999
Argentina,Argentina,AR,"Children out of school, primary","Niños fuera de la escuela, primaria",4,2000,18285
Argentina,Argentina,AR,"Compulsory education, duration (years)","Educación obligatoria, duración (años)",5,2000,10
Argentina,Argentina,AR,"Current education expenditure, total (% of total expenditure in public institutions)","Gasto corriente en educación, total (% del gasto total en instituciones públicas)",6,2000,
Argentina,Argentina,AR,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Logro educativo, al menos el primer ciclo de secundaria completado, población 25+, total (%) (acumulado)",7,2000,
Argentina,Argentina,AR,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Logro educativo, al menos primaria completada, población 25+, total (%) (acumulado)",8,2000,
Argentina,Argentina,AR,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Logro educativo, al menos secundaria alta completada, población 25+, total (%) (acumulado)",9,2000,
Argentina,Argentina,AR,Expenditure on primary education (% of government expenditure on education),Gasto en educación primaria (% del gasto público en educación),10,2000,35.69129
Argentina,Argentina,AR,Expenditure on secondary education (% of government expenditure on education),Gasto en educación secundaria (% del gasto público en educación),11,2000,35.70325
Argentina,Argentina,AR,GDP (current US$),PIB (US$ corrientes),12,2000,2.84204E+11
Argentina,Argentina,AR,GDP per capita (current US$),PIB per cápita (US$ corrientes),13,2000,7666.517834
Argentina,Argentina,AR,Gini index,Índice Gini,14,2000,51.1
Argentina,Argentina,AR,"Government expenditure on education, total (% of GDP)","Gasto público en educación, total (% del PIB)",15,2000,4.580309868
Argentina,Argentina,AR,"Government expenditure on education, total (% of government expenditure)","Gasto público en educación, total (% del gasto público)",16,2000,16.22615051
Argentina,Argentina,AR,"Government expenditure per student, primary (% of GDP per capita)","Gasto público por alumno, primaria (% del PIB per cápita)",17,2000,12.2987
Argentina,Argentina,AR,"Government expenditure per student, secondary (% of GDP per capita)","Gasto público por estudiante, secundaria (% del PIB per cápita)",18,2000,15.74535
Argentina,Argentina,AR,International migrant stock (% of population),Población de migrantes internacionales (% de la población),19,2000,4.156300218
Argentina,Argentina,AR,"International migrant stock, total","Población de migrantes internacionales, total",20,2000,1540219
Argentina,Argentina,AR,"Literacy rate, adult total (% of people ages 15 and above)","Tasa de alfabetización, total de adultos (% de personas de 15 años o más)",21,2000,
Argentina,Argentina,AR,"Literacy rate, youth total (% of people ages 15-24)","Tasa de alfabetización, total de jóvenes (% de personas de 15 a 24 años)",22,2000,
Argentina,Argentina,AR,Net migration,Migración neta,23,2000,-22770
Argentina,Argentina,AR,"Over-age students, primary (% of enrollment)","Alumnos con sobre-edad, primaria (% de matrícula)",24,2000,10.19093
Argentina,Argentina,AR,"Population ages 0-14, female","Población de 0 a 14 años, mujeres",25,2000,5100516
Argentina,Argentina,AR,"Population ages 0-14, male","Población de 0 a 14 años, hombres",26,2000,5346107
Argentina,Argentina,AR,"Population ages 15-64, female","Población de 15 a 64 años, mujeres",27,2000,11534450
Argentina,Argentina,AR,"Population ages 15-64, male","Población de 15 a 64 años, hombres",28,2000,11478301
Argentina,Argentina,AR,"Population ages 65 and above, female","Población de 65 años de edad o más, mujeres",29,2000,2155062
Argentina,Argentina,AR,"Population ages 65 and above, male","Población de 65 años de edad o más, hombres",30,2000,1456338
Argentina,Argentina,AR,"Population, female","Población, mujeres",31,2000,18790028
Argentina,Argentina,AR,"Population, male","Población, hombres",32,2000,18280746
Argentina,Argentina,AR,"Population, total","Población, total",33,2000,37070774
Argentina,Argentina,AR,Poverty headcount ratio at national poverty lines (% of population),"Tasa de incidencia de la pobreza, sobre la base de la línea de pobreza nacional (% de la población)",34,2000,
Argentina,Argentina,AR,"Primary education, pupils","Primaria, alumnos",35,2000,4900956
Argentina,Argentina,AR,"Repeaters, primary, total (% of total enrollment)","Repetidores, primaria, total (% de la matrícula total)",36,2000,6.14958
Argentina,Argentina,AR,Rural population,Población rural,37,2000,4025145
Argentina,Argentina,AR,"School enrollment, preprimary (% gross)","Matrícula escolar, preprimaria (% bruto)",38,2000,58.73519897
Argentina,Argentina,AR,"School enrollment, primary (% gross)","Matrícula escolar, primaria (% bruto)",39,2000,115.6941299
Argentina,Argentina,AR,"School enrollment, primary (% net)","Matrícula escolar, primaria (% neto)",40,2000,98.92861
Argentina,Argentina,AR,"School enrollment, secondary (% gross)","Matrícula, secundaria (% bruto)",41,2000,95.93660736
Argentina,Argentina,AR,"School enrollment, secondary (% net)","Matrícula escolar, secundaria (% neto)",42,2000,78.48781
Argentina,Argentina,AR,"Secondary education, pupils","Educación secundaria, alumnos",43,2000,3829421
Argentina,Argentina,AR,Urban population,Población urbana,44,2000,33045629
Bahamas,Bahamas,BS,"Adjusted net enrollment rate, primary (% of primary school age children)","Tasa neta de matrícula ajustada, primaria (% de niños en edad de asistir a la escuela primaria)",1,2000,
Bahamas,Bahamas,BS,Adolescents out of school (% of lower secondary school age),Adolescentes fuera de la escuela (% de los adolescentes en edad de asistir a la secundaria baja),2,2000,
Bahamas,Bahamas,BS,Children out of school (% of primary school age),Niños fuera de la escuela (% de los niños en edad de asistir a la primaria),3,2000,
Bahamas,Bahamas,BS,"Children out of school, primary","Niños fuera de la escuela, primaria",4,2000,
Bahamas,Bahamas,BS,"Compulsory education, duration (years)","Educación obligatoria, duración (años)",5,2000,12
Bahamas,Bahamas,BS,"Current education expenditure, total (% of total expenditure in public institutions)","Gasto corriente en educación, total (% del gasto total en instituciones públicas)",6,2000,
Bahamas,Bahamas,BS,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Logro educativo, al menos el primer ciclo de secundaria completado, población 25+, total (%) (acumulado)",7,2000,90.10501862
Bahamas,Bahamas,BS,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Logro educativo, al menos primaria completada, población 25+, total (%) (acumulado)",8,2000,98.49593353
Bahamas,Bahamas,BS,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Logro educativo, al menos secundaria alta completada, población 25+, total (%) (acumulado)",9,2000,70.94155121
Bahamas,Bahamas,BS,Expenditure on primary education (% of government expenditure on education),Gasto en educación primaria (% del gasto público en educación),10,2000,
Bahamas,Bahamas,BS,Expenditure on secondary education (% of government expenditure on education),Gasto en educación secundaria (% del gasto público en educación),11,2000,
Bahamas,Bahamas,BS,GDP (current US$),PIB (US$ corrientes),12,2000,8076470000
Bahamas,Bahamas,BS,GDP per capita (current US$),PIB per cápita (US$ corrientes),13,2000,24849.60648
Bahamas,Bahamas,BS,Gini index,Índice Gini,14,2000,
Bahamas,Bahamas,BS,"Government expenditure on education, total (% of GDP)","Gasto público en educación, total (% del PIB)",15,2000,2.232840061
Bahamas,Bahamas,BS,"Government expenditure on education, total (% of government expenditure)","Gasto público en educación, total (% del gasto público)",16,2000,18.76528931
Bahamas,Bahamas,BS,"Government expenditure per student, primary (% of GDP per capita)","Gasto público por alumno, primaria (% del PIB per cápita)",17,2000,
Bahamas,Bahamas,BS,"Government expenditure per student, secondary (% of GDP per capita)","Gasto público por estudiante, secundaria (% del PIB per cápita)",18,2000,
Bahamas,Bahamas,BS,International migrant stock (% of population),Población de migrantes internacionales (% de la población),19,2000,12.23736199
Bahamas,Bahamas,BS,"International migrant stock, total","Población de migrantes internacionales, total",20,2000,36454
Bahamas,Bahamas,BS,"Literacy rate, adult total (% of people ages 15 and above)","Tasa de alfabetización, total de adultos (% de personas de 15 años o más)",21,2000,
Bahamas,Bahamas,BS,"Literacy rate, youth total (% of people ages 15-24)","Tasa de alfabetización, total de jóvenes (% de personas de 15 a 24 años)",22,2000,
Bahamas,Bahamas,BS,Net migration,Migración neta,23,2000,843
Bahamas,Bahamas,BS,"Over-age students, primary (% of enrollment)","Alumnos con sobre-edad, primaria (% de matrícula)",24,2000,
Bahamas,Bahamas,BS,"Population ages 0-14, female","Población de 0 a 14 años, mujeres",25,2000,48256
Bahamas,Bahamas,BS,"Population ages 0-14, male","Población de 0 a 14 años, hombres",26,2000,48900
Bahamas,Bahamas,BS,"Population ages 15-64, female","Población de 15 a 64 años, mujeres",27,2000,108340
Bahamas,Bahamas,BS,"Population ages 15-64, male","Población de 15 a 64 años, hombres",28,2000,103213
Bahamas,Bahamas,BS,"Population ages 65 and above, female","Población de 65 años de edad o más, mujeres",29,2000,9540
Bahamas,Bahamas,BS,"Population ages 65 and above, male","Población de 65 años de edad o más, hombres",30,2000,6766
Bahamas,Bahamas,BS,"Population, female","Población, mujeres",31,2000,166136
Bahamas,Bahamas,BS,"Population, male","Población, hombres",32,2000,158879
Bahamas,Bahamas,BS,"Population, total","Población, total",33,2000,325014
Bahamas,Bahamas,BS,Poverty headcount ratio at national poverty lines (% of population),"Tasa de incidencia de la pobreza, sobre la base de la línea de pobreza nacional (% de la población)",34,2000,
Bahamas,Bahamas,BS,"Primary education, pupils","Primaria, alumnos",35,2000,
Bahamas,Bahamas,BS,"Repeaters, primary, total (% of total enrollment)","Repetidores, primaria, total (% de la matrícula total)",36,2000,
Bahamas,Bahamas,BS,Rural population,Población rural,37,2000,58480
Bahamas,Bahamas,BS,"School enrollment, preprimary (% gross)","Matrícula escolar, preprimaria (% bruto)",38,2000,15.81334019
Bahamas,Bahamas,BS,"School enrollment, primary (% gross)","Matrícula escolar, primaria (% bruto)",39,2000,
Bahamas,Bahamas,BS,"School enrollment, primary (% net)","Matrícula escolar, primaria (% neto)",40,2000,
Bahamas,Bahamas,BS,"School enrollment, secondary (% gross)","Matrícula, secundaria (% bruto)",41,2000,
Bahamas,Bahamas,BS,"School enrollment, secondary (% net)","Matrícula escolar, secundaria (% neto)",42,2000,
Bahamas,Bahamas,BS,"Secondary education, pupils","Educación secundaria, alumnos",43,2000,
Bahamas,Bahamas,BS,Urban population,Población urbana,44,2000,266534
Brazil,Brasil,BR,"Adjusted net enrollment rate, primary (% of primary school age children)","Tasa neta de matrícula ajustada, primaria (% de niños en edad de asistir a la escuela primaria)",1,2000,
Brazil,Brasil,BR,Adolescents out of school (% of lower secondary school age),Adolescentes fuera de la escuela (% de los adolescentes en edad de asistir a la secundaria baja),2,2000,
Brazil,Brasil,BR,Children out of school (% of primary school age),Niños fuera de la escuela (% de los niños en edad de asistir a la primaria),3,2000,
Brazil,Brasil,BR,"Children out of school, primary","Niños fuera de la escuela, primaria",4,2000,
Brazil,Brasil,BR,"Compulsory education, duration (years)","Educación obligatoria, duración (años)",5,2000,8
Brazil,Brasil,BR,"Current education expenditure, total (% of total expenditure in public institutions)","Gasto corriente en educación, total (% del gasto total en instituciones públicas)",6,2000,93.85858917
Brazil,Brasil,BR,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Logro educativo, al menos el primer ciclo de secundaria completado, población 25+, total (%) (acumulado)",7,2000,
Brazil,Brasil,BR,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Logro educativo, al menos primaria completada, población 25+, total (%) (acumulado)",8,2000,
Brazil,Brasil,BR,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Logro educativo, al menos secundaria alta completada, población 25+, total (%) (acumulado)",9,2000,
Brazil,Brasil,BR,Expenditure on primary education (% of government expenditure on education),Gasto en educación primaria (% del gasto público en educación),10,2000,30.88178
Brazil,Brasil,BR,Expenditure on secondary education (% of government expenditure on education),Gasto en educación secundaria (% del gasto público en educación),11,2000,38.44232
Brazil,Brasil,BR,GDP (current US$),PIB (US$ corrientes),12,2000,6.55448E+11
Brazil,Brasil,BR,GDP per capita (current US$),PIB per cápita (US$ corrientes),13,2000,3726.81142
Brazil,Brasil,BR,Gini index,Índice Gini,14,2000,
Brazil,Brasil,BR,"Government expenditure on education, total (% of GDP)","Gasto público en educación, total (% del PIB)",15,2000,3.948930025
Brazil,Brasil,BR,"Government expenditure on education, total (% of government expenditure)","Gasto público en educación, total (% del gasto público)",16,2000,11.45215988
Brazil,Brasil,BR,"Government expenditure per student, primary (% of GDP per capita)","Gasto público por alumno, primaria (% del PIB per cápita)",17,2000,10.5463
Brazil,Brasil,BR,"Government expenditure per student, secondary (% of GDP per capita)","Gasto público por estudiante, secundaria (% del PIB per cápita)",18,2000,
Brazil,Brasil,BR,International migrant stock (% of population),Población de migrantes internacionales (% de la población),19,2000,0.389447557
Brazil,Brasil,BR,"International migrant stock, total","Población de migrantes internacionales, total",20,2000,684596
Brazil,Brasil,BR,"Literacy rate, adult total (% of people ages 15 and above)","Tasa de alfabetización, total de adultos (% de personas de 15 años o más)",21,2000,86.36788177
Brazil,Brasil,BR,"Literacy rate, youth total (% of people ages 15-24)","Tasa de alfabetización, total de jóvenes (% de personas de 15 a 24 años)",22,2000,94.18411255
Brazil,Brasil,BR,Net migration,Migración neta,23,2000,-1761
Brazil,Brasil,BR,"Over-age students, primary (% of enrollment)","Alumnos con sobre-edad, primaria (% de matrícula)",24,2000,34.81253
Brazil,Brasil,BR,"Population ages 0-14, female","Población de 0 a 14 años, mujeres",25,2000,25806123
Brazil,Brasil,BR,"Population ages 0-14, male","Población de 0 a 14 años, hombres",26,2000,26664068
Brazil,Brasil,BR,"Population ages 15-64, female","Población de 15 a 64 años, mujeres",27,2000,57564654
Brazil,Brasil,BR,"Population ages 15-64, male","Población de 15 a 64 años, hombres",28,2000,56159166
Brazil,Brasil,BR,"Population ages 65 and above, female","Población de 65 años de edad o más, mujeres",29,2000,5378613
Brazil,Brasil,BR,"Population ages 65 and above, male","Población de 65 años de edad o más, hombres",30,2000,4301096
Brazil,Brasil,BR,"Population, female","Población, mujeres",31,2000,88749390
Brazil,Brasil,BR,"Population, male","Población, hombres",32,2000,87124330
Brazil,Brasil,BR,"Population, total","Población, total",33,2000,175873720
Brazil,Brasil,BR,Poverty headcount ratio at national poverty lines (% of population),"Tasa de incidencia de la pobreza, sobre la base de la línea de pobreza nacional (% de la población)",34,2000,
Brazil,Brasil,BR,"Primary education, pupils","Primaria, alumnos",35,2000,20211506
Brazil,Brasil,BR,"Repeaters, primary, total (% of total enrollment)","Repetidores, primaria, total (% de la matrícula total)",36,2000,25.01127
Brazil,Brasil,BR,Rural population,Población rural,37,2000,33078329
Brazil,Brasil,BR,"School enrollment, preprimary (% gross)","Matrícula escolar, preprimaria (% bruto)",38,2000,
Brazil,Brasil,BR,"School enrollment, primary (% gross)","Matrícula escolar, primaria (% bruto)",39,2000,
Brazil,Brasil,BR,"School enrollment, primary (% net)","Matrícula escolar, primaria (% neto)",40,2000,
Brazil,Brasil,BR,"School enrollment, secondary (% gross)","Matrícula, secundaria (% bruto)",41,2000,
Brazil,Brasil,BR,"School enrollment, secondary (% net)","Matrícula escolar, secundaria (% neto)",42,2000,
Brazil,Brasil,BR,"Secondary education, pupils","Educación secundaria, alumnos",43,2000,
Brazil,Brasil,BR,Urban population,Población urbana,44,2000,142795391
British Virgin Islands,Islas Vírgenes Británicas,VG,"Adjusted net enrollment rate, primary (% of primary school age children)","Tasa neta de matrícula ajustada, primaria (% de niños en edad de asistir a la escuela primaria)",1,2000,83.77107
British Virgin Islands,Islas Vírgenes Británicas,VG,Adolescents out of school (% of lower secondary school age),Adolescentes fuera de la escuela (% de los adolescentes en edad de asistir a la secundaria baja),2,2000,4.092339993
British Virgin Islands,Islas Vírgenes Británicas,VG,Children out of school (% of primary school age),Niños fuera de la escuela (% de los niños en edad de asistir a la primaria),3,2000,16.22892952
British Virgin Islands,Islas Vírgenes Británicas,VG,"Children out of school, primary","Niños fuera de la escuela, primaria",4,2000,414
British Virgin Islands,Islas Vírgenes Británicas,VG,"Compulsory education, duration (years)","Educación obligatoria, duración (años)",5,2000,12
British Virgin Islands,Islas Vírgenes Británicas,VG,"Current education expenditure, total (% of total expenditure in public institutions)","Gasto corriente en educación, total (% del gasto total en instituciones públicas)",6,2000,
British Virgin Islands,Islas Vírgenes Británicas,VG,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Logro educativo, al menos el primer ciclo de secundaria completado, población 25+, total (%) (acumulado)",7,2000,
British Virgin Islands,Islas Vírgenes Británicas,VG,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Logro educativo, al menos primaria completada, población 25+, total (%) (acumulado)",8,2000,
British Virgin Islands,Islas Vírgenes Británicas,VG,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Logro educativo, al menos secundaria alta completada, población 25+, total (%) (acumulado)",9,2000,
British Virgin Islands,Islas Vírgenes Británicas,VG,Expenditure on primary education (% of government expenditure on education),Gasto en educación primaria (% del gasto público en educación),10,2000,
British Virgin Islands,Islas Vírgenes Británicas,VG,Expenditure on secondary education (% of government expenditure on education),Gasto en educación secundaria (% del gasto público en educación),11,2000,
British Virgin Islands,Islas Vírgenes Británicas,VG,GDP (current US$),PIB (US$ corrientes),12,2000,
British Virgin Islands,Islas Vírgenes Británicas,VG,GDP per capita (current US$),PIB per cápita (US$ corrientes),13,2000,
British Virgin Islands,Islas Vírgenes Británicas,VG,Gini index,Índice Gini,14,2000,
British Virgin Islands,Islas Vírgenes Británicas,VG,"Government expenditure on education, total (% of GDP)","Gasto público en educación, total (% del PIB)",15,2000,
British Virgin Islands,Islas Vírgenes Británicas,VG,"Government expenditure on education, total (% of government expenditure)","Gasto público en educación, total (% del gasto público)",16,2000,
British Virgin Islands,Islas Vírgenes Británicas,VG,"Government expenditure per student, primary (% of GDP per capita)","Gasto público por alumno, primaria (% del PIB per cápita)",17,2000,
British Virgin Islands,Islas Vírgenes Británicas,VG,"Government expenditure per student, secondary (% of GDP per capita)","Gasto público por estudiante, secundaria (% del PIB per cápita)",18,2000,
British Virgin Islands,Islas Vírgenes Británicas,VG,International migrant stock (% of population),Población de migrantes internacionales (% de la población),19,2000,58.41205251
British Virgin Islands,Islas Vírgenes Británicas,VG,"International migrant stock, total","Población de migrantes internacionales, total",20,2000,12058
British Virgin Islands,Islas Vírgenes Británicas,VG,"Literacy rate, adult total (% of people ages 15 and above)","Tasa de alfabetización, total de adultos (% de personas de 15 años o más)",21,2000,
British Virgin Islands,Islas Vírgenes Británicas,VG,"Literacy rate, youth total (% of people ages 15-24)","Tasa de alfabetización, total de jóvenes (% de personas de 15 a 24 años)",22,2000,
British Virgin Islands,Islas Vírgenes Británicas,VG,Net migration,Migración neta,23,2000,326
British Virgin Islands,Islas Vírgenes Británicas,VG,"Over-age students, primary (% of enrollment)","Alumnos con sobre-edad, primaria (% de matrícula)",24,2000,5.17427
British Virgin Islands,Islas Vírgenes Británicas,VG,"Population ages 0-14, female","Población de 0 a 14 años, mujeres",25,2000,2614
British Virgin Islands,Islas Vírgenes Británicas,VG,"Population ages 0-14, male","Población de 0 a 14 años, hombres",26,2000,2651
British Virgin Islands,Islas Vírgenes Británicas,VG,"Population ages 15-64, female","Población de 15 a 64 años, mujeres",27,2000,6700
British Virgin Islands,Islas Vírgenes Británicas,VG,"Population ages 15-64, male","Población de 15 a 64 años, hombres",28,2000,7179
British Virgin Islands,Islas Vírgenes Británicas,VG,"Population ages 65 and above, female","Población de 65 años de edad o más, mujeres",29,2000,463
British Virgin Islands,Islas Vírgenes Británicas,VG,"Population ages 65 and above, male","Población de 65 años de edad o más, hombres",30,2000,498
British Virgin Islands,Islas Vírgenes Británicas,VG,"Population, female","Población, mujeres",31,2000,9777
British Virgin Islands,Islas Vírgenes Británicas,VG,"Population, male","Población, hombres",32,2000,10327
British Virgin Islands,Islas Vírgenes Británicas,VG,"Population, total","Población, total",33,2000,20104
British Virgin Islands,Islas Vírgenes Británicas,VG,Poverty headcount ratio at national poverty lines (% of population),"Tasa de incidencia de la pobreza, sobre la base de la línea de pobreza nacional (% de la población)",34,2000,
British Virgin Islands,Islas Vírgenes Británicas,VG,"Primary education, pupils","Primaria, alumnos",35,2000,2783
British Virgin Islands,Islas Vírgenes Británicas,VG,"Repeaters, primary, total (% of total enrollment)","Repetidores, primaria, total (% de la matrícula total)",36,2000,2.7402
British Virgin Islands,Islas Vírgenes Británicas,VG,Rural population,Población rural,37,2000,11706
British Virgin Islands,Islas Vírgenes Británicas,VG,"School enrollment, preprimary (% gross)","Matrícula escolar, preprimaria (% bruto)",38,2000,73.07691956
British Virgin Islands,Islas Vírgenes Británicas,VG,"School enrollment, primary (% gross)","Matrícula escolar, primaria (% bruto)",39,2000,109.0944672
British Virgin Islands,Islas Vírgenes Británicas,VG,"School enrollment, primary (% net)","Matrícula escolar, primaria (% neto)",40,2000,81.85025
British Virgin Islands,Islas Vírgenes Británicas,VG,"School enrollment, secondary (% gross)","Matrícula, secundaria (% bruto)",41,2000,98.75978851
British Virgin Islands,Islas Vírgenes Británicas,VG,"School enrollment, secondary (% net)","Matrícula escolar, secundaria (% neto)",42,2000,79.56919
British Virgin Islands,Islas Vírgenes Británicas,VG,"Secondary education, pupils","Educación secundaria, alumnos",43,2000,1513
British Virgin Islands,Islas Vírgenes Británicas,VG,Urban population,Población urbana,44,2000,8398
Chile,Chile,CL,"Adjusted net enrollment rate, primary (% of primary school age children)","Tasa neta de matrícula ajustada, primaria (% de niños en edad de asistir a la escuela primaria)",1,2000,
